"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
480589,"December 31, 2015","New York","New York (Manhattan)","Sherman Street",0,1,N/A
476987,"December 31, 2015","North Carolina",Durham,"433 Pilot Street",0,2,N/A
476984,"December 31, 2015",Missouri,"Kansas City","E. 37th Street and Blue Ridge Cutoff",0,0,N/A
476351,"December 31, 2015",Massachusetts,"New Bedford","Pleasant Street",1,0,N/A
476966,"December 31, 2015","North Carolina",Charlotte,"Westpark Drive",0,2,N/A
476499,"December 31, 2015",Tennessee,Chattanooga,"2700 block 6th Avenue",0,1,N/A
483306,"December 31, 2015",Missouri,"Kansas City","3000 block of Woodland Avenue",0,1,N/A
484916,"December 31, 2015",Kansas,Salina,"400 block of S. 12th Street",0,0,N/A
484914,"December 31, 2015",Kansas,Salina,"University Place and Phillips Street",0,0,N/A
476809,"December 31, 2015",Washington,Woodland,"143 Whalen Road",1,0,N/A
476886,"December 31, 2015",Iowa,"Des Moines","1300 block of E. 14th Street",0,1,N/A
476880,"December 31, 2015",Florida,Bradenton,"500 block of 13th Avenue West",0,0,N/A
476872,"December 31, 2015",Indiana,Merrillville,"5500 block of Hayes Street",0,3,N/A
478620,"December 31, 2015",Louisiana,"New Orleans",N/A,0,0,N/A
476265,"December 31, 2015",Texas,Arlington,"1300 S. Bowen Road",0,1,N/A
476148,"December 31, 2015",Tennessee,Madison,"1700 block of Cumberland Station Boulevard",0,1,N/A
476256,"December 31, 2015",Maryland,Oakland,"Garrett Highway",0,0,N/A
476760,"December 31, 2015",Maryland,"Halethorpe (Lansdowne)","400 block of Fourth Ave",0,1,N/A
476814,"December 31, 2015",Florida,"Palm Beach","Pipers Clay Drive",0,1,N/A
476807,"December 31, 2015",California,"San Francisco","Fillmore and Turk",0,1,N/A
476804,"December 31, 2015",Colorado,"Colorado Springs","E. Platte and Iowa Avenue",0,0,N/A
477973,"December 31, 2015",Illinois,Peoria,"2503 N. Sheridan Road",0,0,N/A
476800,"December 31, 2015",Maryland,Frederick,"Waverly Drive",0,0,N/A
